FR01,SRS01
FR01,SRS02
FR01,SRS03
FR01,SRS04
FR01,SRS05
FR01,SRS06
FR01,SRS07
FR01,SRS11
FR01,SRS12
FR01,SRS14
FR01,SRS16
FR01,SRS18
FR01,SRS21
FR01,SRS22
FR01,SRS31
FR01,SRS39
FR01,SRS41
FR01,SRS45
FR01,SRS47
FR01,SRS48
FR01,SRS49
FR01,SRS51
FR01,SRS52
FR01,SRS55
FR01,SRS56
FR01,SRS60
FR01,SRS63
FR01,SRS68
FR01,SRS72
FR01,SRS81
FR01,SRS83
FR01,SRS88
FR02,SRS01
FR02,SRS04
FR02,SRS05
FR02,SRS06
FR02,SRS07
FR02,SRS11
FR02,SRS12
FR02,SRS14
FR02,SRS16
FR02,SRS19
FR02,SRS21
FR02,SRS22
FR02,SRS31
FR02,SRS33
FR02,SRS41
FR02,SRS45
FR02,SRS47
FR02,SRS48
FR02,SRS49
FR02,SRS51
FR02,SRS59
FR02,SRS60
FR02,SRS61
FR02,SRS63
FR02,SRS68
FR02,SRS81
FR02,SRS83
FR03,SRS01
FR03,SRS02
FR03,SRS03
FR03,SRS04
FR03,SRS05
FR03,SRS06
FR03,SRS07
FR03,SRS08
FR03,SRS09
FR03,SRS10
FR03,SRS11
FR03,SRS12
FR03,SRS14
FR03,SRS16
FR03,SRS17
FR03,SRS18
FR03,SRS19
FR03,SRS21
FR03,SRS22
FR03,SRS25
FR03,SRS27
FR03,SRS31
FR03,SRS32
FR03,SRS34
FR03,SRS40
FR03,SRS41
FR03,SRS42
FR03,SRS45
FR03,SRS47
FR03,SRS48
FR03,SRS49
FR03,SRS51
FR03,SRS52
FR03,SRS55
FR03,SRS56
FR03,SRS59
FR03,SRS60
FR03,SRS61
FR03,SRS63
FR03,SRS64
FR03,SRS66
FR03,SRS67
FR03,SRS68
FR03,SRS72
FR03,SRS73
FR03,SRS74
FR03,SRS81
FR03,SRS83
FR04,SRS03
FR04,SRS05
FR04,SRS06
FR04,SRS07
FR04,SRS08
FR04,SRS09
FR04,SRS10
FR04,SRS11
FR04,SRS12
FR04,SRS13
FR04,SRS14
FR04,SRS15
FR04,SRS16
FR04,SRS17
FR04,SRS18
FR04,SRS19
FR04,SRS21
FR04,SRS22
FR04,SRS25
FR04,SRS27
FR04,SRS32
FR04,SRS33
FR04,SRS34
